stress,policy,seed,cost_usd,violation_rate,total_lateness_seconds,credit_exhaustions,throttled_vm_hours,robust_bound_evaluations,robust_bound_exceedances,bound_exceedance_rate,migrations,scheduler_runtime_seconds,maximum_vms,makespan_seconds
LIGHT,"UBR-CA no migration",20316136,120.868750,0.000000,0.000000,199,91.620464,19339,4083,0.211128,0,0.807393,110,1253270.112804
LIGHT,"UBR-CA",20316136,125.425000,0.000000,0.000000,4,0.044886,20068,3780,0.188360,795,0.817092,111,1252970.112804
LIGHT,"HEFT",20324055,118.287500,0.500000,317703.823196,233,523.015758,18926,17028,0.899715,0,1.101943,37,1437538.385066
LIGHT,"KRP",20324055,121.375000,1.000000,25607846.577107,71,1342.483689,19420,19005,0.978630,0,2.997672,36,3422938.385066
LIGHT,"CCS",20324055,121.418750,1.000000,24654891.688218,74,1326.992563,19427,18079,0.930612,0,3.310871,42,3387238.385066
LIGHT,"CARS",20324055,116.550000,0.000000,0.000000,250,8.699340,18648,15596,0.836336,1929,2.575593,116,1307938.385066
LIGHT,"UBR-CA no migration",20324055,123.850000,0.000000,0.000000,194,97.944016,19816,4171,0.210486,0,2.324408,116,1306738.385066
LIGHT,"UBR-CA",20324055,129.900000,0.000000,0.000000,4,0.024499,20784,3907,0.187981,748,1.388193,114,1306738.385066
LIGHT,"HEFT",20331974,116.143750,0.500000,279326.278160,201,687.891292,18583,17067,0.918420,0,1.539064,38,1611694.870937
LIGHT,"KRP",20331974,119.737500,1.000000,23804768.544947,42,1322.124860,19158,18795,0.981052,0,3.749011,36,3327094.870937
LIGHT,"CCS",20331974,119.981250,1.000000,22856166.250229,55,1300.069577,19197,17704,0.922227,0,5.796539,43,3293194.870937
LIGHT,"CARS",20331974,115.006250,0.000000,0.000000,201,6.751301,18401,15519,0.843378,1528,2.236601,106,1317094.870937
LIGHT,"UBR-CA no migration",20331974,121.550000,0.000000,0.000000,177,85.251609,19448,3996,0.205471,0,1.675193,111,1316794.870937
LIGHT,"UBR-CA",20331974,124.406250,0.000000,0.000000,4,0.017650,19905,3818,0.191811,720,1.479852,107,1316794.870937
LIGHT,"HEFT",20339893,118.675000,0.500000,308208.225691,202,518.595055,18988,16980,0.894249,0,1.661664,38,1298264.114896
LIGHT,"KRP",20339893,120.468750,1.000000,25209694.741147,68,1351.825804,19275,19013,0.986407,0,3.616869,37,3292964.114896
LIGHT,"CCS",20339893,120.418750,1.000000,24241432.026733,85,1337.206727,19267,18271,0.948305,0,3.659726,43,3260864.114896
LIGHT,"CARS",20339893,115.043750,0.000000,0.000000,258,9.010532,18407,15566,0.845657,1942,1.411886,114,1209164.114896
LIGHT,"UBR-CA no migration",20339893,121.143750,0.000000,0.000000,190,92.068265,19383,4160,0.214621,0,1.401983,114,1207364.114896
LIGHT,"UBR-CA",20339893,125.843750,0.000000,0.000000,4,0.048159,20135,3880,0.192699,732,1.375488,116,1207364.114896
LIGHT,"HEFT",20347812,119.356250,0.500000,304151.704591,195,675.306499,19097,17252,0.903388,0,1.487396,37,1505301.513095
LIGHT,"KRP",20347812,118.437500,1.000000,23705230.464901,53,1301.125223,18950,18567,0.979789,0,2.999341,36,3200901.513095
LIGHT,"CCS",20347812,118.437500,1.000000,22774942.701144,59,1288.429831,18950,17538,0.925488,0,2.213971,41,3163401.513095
LIGHT,"CARS",20347812,114.793750,0.000000,0.000000,220,7.789866,18367,15479,0.842761,1762,1.188804,113,1253901.513095
LIGHT,"UBR-CA no migration",20347812,120.768750,0.000000,0.000000,176,83.559619,19323,4010,0.207525,0,1.078112,109,1253901.513095
LIGHT,"UBR-CA",20347812,127.712500,0.000000,0.000000,3,0.020151,20434,3777,0.184839,768,1.166335,115,1253901.513095
LIGHT,"HEFT",20355731,122.775000,0.500000,356671.588821,74,479.067642,19644,17260,0.878640,0,1.383453,36,1377058.119824
LIGHT,"KRP",20355731,123.400000,1.000000,26781142.809487,56,1366.780129,19744,19284,0.976702,0,3.974486,35,3514558.119824
LIGHT,"CCS",20355731,123.512500,1.000000,25946550.117587,55,1352.671492,19762,18385,0.930321,0,2.632296,41,3485158.119824
LIGHT,"CARS",20355731,118.431250,0.000000,0.000000,236,8.145348,18949,15802,0.833923,1866,1.043220,107,1330258.119824
LIGHT,"UBR-CA no migration",20355731,124.262500,0.000000,0.000000,185,88.748941,19882,4144,0.208430,0,1.055469,110,1330858.119824
LIGHT,"UBR-CA",20355731,127.206250,0.000000,0.000000,2,0.019118,20353,3852,0.189260,731,1.414694,108,1330258.119824
LIGHT,"HEFT",20363650,115.706250,0.500000,325641.422291,195,644.164777,18513,17009,0.918760,0,1.256359,36,1553209.623310
LIGHT,"KRP",20363650,118.806250,1.000000,23018081.696278,54,1300.834046,19009,18700,0.983745,0,3.025314,36,3252409.623310
LIGHT,"CCS",20363650,118.706250,1.000000,22082727.230497,62,1279.865655,18993,17489,0.920813,0,2.728363,41,3217309.623310
LIGHT,"CARS",20363650,114.512500,0.000000,0.000000,251,8.665176,18322,15424,0.841829,1865,0.941032,111,1308409.623310
LIGHT,"UBR-CA no migration",20363650,124.150000,0.000000,0.000000,168,77.590742,19864,4057,0.204239,0,1.190397,110,1308709.623310
LIGHT,"UBR-CA",20363650,125.225000,0.000000,0.000000,4,0.035342,20036,3823,0.190807,823,0.950356,113,1307809.623310
LIGHT,"HEFT",20371569,118.131250,0.500000,282371.142884,209,753.070364,18901,17639,0.933231,0,1.355920,38,1549646.476495
LIGHT,"KRP",20371569,122.200000,1.000000,27600881.215299,44,1384.581870,19552,19301,0.987162,0,3.870491,37,3454346.476495
LIGHT,"CCS",20371569,122.275000,1.000000,26691509.304170,50,1367.453472,19564,18604,0.950930,0,3.400356,43,3417446.476495
LIGHT,"CARS",20371569,117.131250,0.000000,0.000000,241,8.280970,18741,15877,0.847180,1709,1.374483,104,1210046.476495
LIGHT,"UBR-CA no migration",20371569,122.943750,0.000000,0.000000,168,80.703130,19671,4109,0.208886,0,1.593135,108,1210346.476495
LIGHT,"UBR-CA",20371569,128.900000,0.000000,0.000000,4,0.065004,20624,3876,0.187936,682,1.433178,109,1210046.476495
LIGHT,"HEFT",20379488,122.618750,0.500000,330814.632223,231,761.389474,19619,17958,0.915337,0,1.666605,35,1592282.043709
LIGHT,"KRP",20379488,123.268750,1.000000,26684158.091567,47,1381.176767,19723,19359,0.981544,0,3.749250,34,3433382.043709
LIGHT,"CCS",20379488,123.250000,1.000000,25733832.816383,55,1363.285611,19720,18492,0.937728,0,3.133520,40,3395882.043709
LIGHT,"CARS",20379488,119.718750,0.000000,0.000000,227,7.937113,19155,15972,0.833829,1771,1.237483,112,1264982.043709
LIGHT,"UBR-CA no migration",20379488,127.612500,0.000000,0.000000,177,79.460167,20418,4169,0.204183,0,1.188395,113,1265282.043709
LIGHT,"UBR-CA",20379488,131.775000,0.000000,0.000000,4,0.048581,21084,3951,0.187393,701,1.201243,113,1264682.043709
LIGHT,"HEFT",20387407,118.543750,0.500000,299896.364193,203,591.395232,18967,17165,0.904993,0,1.484018,36,1483764.204825
LIGHT,"KRP",20387407,120.575000,1.000000,26228443.111057,61,1340.803491,19292,18927,0.981080,0,3.142247,36,3455964.204825
LIGHT,"CCS",20387407,120.500000,1.000000,25390981.128176,70,1321.114582,19280,18013,0.934284,0,3.247229,42,3420564.204825
LIGHT,"CARS",20387407,115.331250,0.000000,0.000000,242,7.535043,18453,15460,0.837804,1775,1.495167,106,1295964.204825
LIGHT,"UBR-CA no migration",20387407,122.381250,0.000000,0.000000,180,80.935106,19581,4102,0.209489,0,1.056116,104,1294464.204825
LIGHT,"UBR-CA",20387407,126.931250,0.000000,0.000000,2,0.007483,20309,3829,0.188537,678,1.001627,107,1294764.204825
LIGHT,"HEFT",20395326,124.506250,0.500000,273267.686607,85,455.031418,19921,17359,0.871392,0,0.898380,39,1366671.253632
LIGHT,"KRP",20395326,122.875000,1.000000,24828324.070506,53,1346.454766,19660,19223,0.977772,0,3.624131,37,3402771.253632
LIGHT,"CCS",20395326,122.906250,1.000000,23812125.184195,63,1328.994506,19665,18105,0.920671,0,3.883995,42,3363471.253632
LIGHT,"CARS",20395326,117.718750,0.000000,0.000000,243,8.127312,18835,15812,0.839501,1897,1.169567,113,1332471.253632
LIGHT,"UBR-CA no migration",20395326,126.650000,0.000000,0.000000,194,94.488071,20264,4189,0.206721,0,1.424660,113,1333071.253632
LIGHT,"UBR-CA",20395326,131.500000,0.000000,0.000000,8,0.120588,21040,3894,0.185076,793,1.342076,118,1332171.253632
LIGHT,"HEFT",20403245,120.218750,0.500000,284355.990372,81,444.057310,19235,16974,0.882454,0,1.618878,37,1278613.517478
LIGHT,"KRP",20403245,119.306250,1.000000,24875536.372313,50,1335.284521,19089,18815,0.985646,0,3.443490,37,3316813.517478
LIGHT,"CCS",20403245,119.556250,1.000000,23892998.461290,61,1315.739592,19129,17861,0.933713,0,3.169093,41,3274213.517478
LIGHT,"CARS",20403245,115.725000,0.000000,0.000000,219,6.911629,18516,15563,0.840516,1789,1.223799,105,1246813.517478
LIGHT,"UBR-CA no migration",20403245,120.031250,0.000000,0.000000,166,76.949791,19205,3979,0.207186,0,1.336183,107,1246513.517478
LIGHT,"UBR-CA",20403245,124.906250,0.000000,0.000000,5,0.058744,19985,3840,0.192144,699,1.211764,105,1246513.517478
LIGHT,"HEFT",20411164,120.418750,0.500000,299537.686748,207,615.950812,19267,17363,0.901178,0,1.666880,39,1509601.036639
LIGHT,"KRP",20411164,122.400000,1.000000,25811415.924269,57,1351.774810,19584,19157,0.978196,0,3.755148,38,3462001.036639
LIGHT,"CCS",20411164,122.518750,1.000000,25036272.491928,55,1335.768662,19603,18187,0.927766,0,3.173697,43,3435001.036639
LIGHT,"CARS",20411164,117.518750,0.000000,0.000000,260,8.365068,18803,15807,0.840664,1870,0.986049,112,1324201.036639
LIGHT,"UBR-CA no migration",20411164,125.406250,0.000000,0.000000,189,85.729379,20065,4186,0.208622,0,1.368460,110,1323301.036639
LIGHT,"UBR-CA",20411164,128.550000,0.000000,0.000000,2,0.037381,20568,3912,0.190198,754,1.089307,114,1323301.036639
MODERATE,"HEFT",20260703,145.581250,0.500000,237936.975302,716,796.846351,23293,20317,0.872236,0,1.562013,51,1421509.770501
MODERATE,"KRP",20260703,162.500000,1.000000,33317211.613281,66,1717.039769,26000,24565,0.944808,0,3.314111,50,3985309.770501
MODERATE,"CCS",20260703,170.631250,1.000000,20235397.604268,78,1499.864717,27301,19987,0.732098,0,3.109938,56,3322309.770501
MODERATE,"CARS",20260703,149.487500,0.000000,0.000000,182,3.431203,23918,17955,0.750690,1906,1.540266,144,1254109.770501
MODERATE,"UBR-CA no migration",20260703,147.818750,0.000000,0.000000,245,90.719065,23651,4080,0.172509,0,1.609239,141,1253509.770501
MODERATE,"UBR-CA",20260703,151.956250,0.000000,0.000000,1,0.000745,24313,3983,0.163822,840,1.087492,147,1253809.770501
MODERATE,"HEFT",20268622,149.031250,1.000000,3717096.652310,214,1127.595217,23845,21827,0.915370,0,2.490893,54,2012785.382602
MODERATE,"KRP",20268622,162.662500,1.000000,32935965.550889,59,1690.555961,26026,24464,0.939983,0,3.524085,53,4018885.382602
MODERATE,"CCS",20268622,171.718750,1.000000,20538000.474713,83,1487.647034,27475,20042,0.729463,0,2.998339,57,3375985.382602
MODERATE,"CARS",20268622,150.131250,0.000000,0.000000,170,3.005679,24021,17985,0.748720,1817,1.620272,136,1322485.382602
MODERATE,"UBR-CA no migration",20268622,147.343750,0.000000,0.000000,228,84.137327,23575,4150,0.176034,0,1.479949,138,1323085.382602
MODERATE,"UBR-CA",20268622,152.375000,0.000000,0.000000,4,0.101473,24380,3979,0.163208,835,1.585329,137,1323085.382602
MODERATE,"HEFT",20276541,150.862500,0.900000,1421068.619962,390,1037.317646,24138,21791,0.902767,0,2.362391,55,1918188.901899
MODERATE,"KRP",20276541,164.562500,1.000000,32867164.314903,69,1736.199710,26330,24980,0.948728,0,4.512237,52,4096188.901899
MODERATE,"CCS",20276541,174.012500,1.000000,20114157.063527,92,1522.083351,27842,20342,0.730623,0,3.943206,61,3420288.901899
MODERATE,"CARS",20276541,155.662500,0.000000,0.000000,160,2.897075,24906,18702,0.750903,1699,1.288484,145,1355088.901899
MODERATE,"UBR-CA no migration",20276541,151.443750,0.000000,0.000000,252,92.146464,24231,4242,0.175065,0,1.302562,141,1354788.901899
MODERATE,"UBR-CA",20276541,155.912500,0.000000,0.000000,0,0.000000,24946,4098,0.164275,776,1.323583,146,1354788.901899
MODERATE,"HEFT",20284460,147.700000,0.900000,777456.839937,489,1001.252591,23632,21059,0.891122,0,1.773736,55,1868172.916403
MODERATE,"KRP",20284460,163.512500,1.000000,33647011.066341,62,1694.330276,26162,24497,0.936358,0,4.125638,55,4125672.916403
MODERATE,"CCS",20284460,171.906250,1.000000,20395690.543216,81,1469.642175,27505,19777,0.719033,0,3.065831,61,3402972.916403
MODERATE,"CARS",20284460,151.193750,0.000000,0.000000,161,3.138272,24191,18015,0.744698,1707,1.674457,134,1363872.916403
MODERATE,"UBR-CA no migration",20284460,147.462500,0.000000,0.000000,269,100.471038,23594,4081,0.172968,0,1.527839,131,1366272.916403
MODERATE,"UBR-CA",20284460,152.268750,0.000000,0.000000,4,0.051130,24363,4057,0.166523,849,1.234995,135,1362972.916403
MODERATE,"HEFT",20292379,143.443750,0.500000,239857.368425,821,846.634665,22951,20215,0.880790,0,1.337427,49,1439441.175380
MODERATE,"KRP",20292379,162.700000,1.000000,35202983.377027,62,1699.286709,26032,24469,0.939959,0,4.189229,47,4075541.175380
MODERATE,"CCS",20292379,171.506250,1.000000,21282701.372367,74,1476.579334,27441,19777,0.720710,0,3.213154,53,3370541.175380
MODERATE,"CARS",20292379,145.200000,0.000000,0.000000,163,3.132464,23232,17593,0.757274,1643,1.218486,121,1227941.175380
